text,pos_tags
We serve fresh apricot with spices,"['PRP', 'VB', 'JJ', 'NNP', 'NN', 'NN']"
Warm milk on a cold day,"['JJ', 'NNP', 'NN', 'NN', 'NN', 'NN']"
Try our famous dhokla,"['VB', 'PRP', 'JJ', 'NNP']"
Warm cashew on a cold day,"['JJ', 'NNP', 'NN', 'NN', 'NN', 'NN']"
Indian mixed salad greens specialty,"['NN', 'NN', 'NN', 'NN', 'NN']"
Flavorsome fig for everyone,"['NN', 'NNP', 'DT', 'NN']"
Order the best brazil nuts in town,"['VB', 'DT', 'JJ', 'NN', 'NN', 'NN', 'NN']"
Order the best french beans in town,"['VB', 'DT', 'JJ', 'NN', 'NNP', 'NN', 'NN']"
Delightful peanuts with curry,"['NN', 'NNP', 'NN', 'NN']"
Enjoy our classic cream recipe,"['VB', 'PRP', 'NN', 'NNP', 'NN']"
Freshly prepared palak paneer every day,"['NN', 'VB', 'NN', 'NN', 'NN', 'NN']"
potato salad cooked to perfection,"['NNP', 'NN', 'VB', 'NN', 'NN']"
Indian focaccia specialty,"['NN', 'NNP', 'NN']"
Flavorsome masala khichdi for everyone,"['NN', 'NN', 'NN', 'DT', 'NN']"
pumpkin seeds cooked to perfection,"['NN', 'NN', 'VB', 'NN', 'NN']"
Delightful parotta with curry,"['NN', 'NNP', 'NN', 'NN']"
Try our famous onion soup,"['VB', 'PRP', 'JJ', 'NNP', 'NN']"
Delightful poha with curry,"['NN', 'NNP', 'NN', 'NN']"
grapes with rich flavors,"['NNP', 'NN', 'JJ', 'NN']"
Traditional oatmeal muffin served hot,"['JJ', 'NN', 'NN', 'NN', 'NN']"
We serve fresh broccoli soup with spices,"['PRP', 'VB', 'JJ', 'NN', 'NN', 'NN', 'NN']"
Experience the taste of tawa paneer,"['VB', 'DT', 'NN', 'NN', 'NN', 'NN']"
Enjoy our classic channa masala recipe,"['VB', 'PRP', 'NN', 'NN', 'NN', 'NN']"
Delightful goose with curry,"['NN', 'NNP', 'NN', 'NN']"
Enjoy our classic blackberry recipe,"['VB', 'PRP', 'NN', 'NNP', 'NN']"
Try our famous peas,"['VB', 'PRP', 'JJ', 'NNP']"
Home-style potato salad just for you,"['NN', 'NNP', 'NN', 'DT', 'DT', 'NN']"
matar paneer with rich flavors,"['NN', 'NN', 'NN', 'JJ', 'NN']"
"Authentic watermelon,olive and feta salad made in a traditional way","['JJ', 'NN', 'DT', 'NN', 'NN', 'VB', 'NN', 'NN', 'JJ', 'NN']"
Enjoy our classic hazelnuts recipe,"['VB', 'PRP', 'NN', 'NNP', 'NN']"
Delightful onion soup with curry,"['NN', 'NNP', 'NN', 'NN', 'NN']"
Get a combo with seafood garden salad and naan,"['VB', 'NN', 'NN', 'NN', 'NN', 'NN', 'NN', 'DT', 'NNP']"
Indian pistachios specialty,"['NN', 'NNP', 'NN']"
Get a combo with pan cubano and naan,"['VB', 'NN', 'NN', 'NN', 'NN', 'NN', 'DT', 'NNP']"
Order the best cheese in town,"['VB', 'DT', 'JJ', 'NNP', 'NN', 'NN']"
Indian pecans specialty,"['NN', 'NNP', 'NN']"
pai bao with rich flavors,"['NN', 'NN', 'NN', 'JJ', 'NN']"
brazil nuts with rich flavors,"['NN', 'NN', 'NN', 'JJ', 'NN']"
Indian oatmeal bread specialty,"['NN', 'NN', 'NN', 'NN']"
Home-style mixed vegetables just for you,"['NN', 'NN', 'NN', 'DT', 'DT', 'NN']"
Freshly prepared baked zucchini chips every day,"['NN', 'VB', 'NN', 'NN', 'NN', 'NN', 'NN']"
sangak with rich flavors,"['NNP', 'NN', 'JJ', 'NN']"
sambar cooked to perfection,"['NNP', 'VB', 'NN', 'NN']"
Order the best tomato rice in town,"['VB', 'DT', 'JJ', 'NNP', 'NN', 'NN', 'NN']"
Enjoy our classic bhindi stir fry recipe,"['VB', 'PRP', 'NN', 'NN', 'NN', 'NN', 'NN']"
Enjoy a plate of delicious sweet lime,"['VB', 'NN', 'NN', 'NN', 'JJ', 'NN', 'NN']"
banana chips with rich flavors,"['NNP', 'NN', 'NN', 'JJ', 'NN']"
Tasty and healthy mango juice,"['JJ', 'DT', 'NN', 'NNP', 'NN']"
Get a combo with apple and naan,"['VB', 'NN', 'NN', 'NN', 'NNP', 'DT', 'NNP']"
The best recipe for idiyappam,"['DT', 'JJ', 'NN', 'DT', 'NNP']"
Freshly prepared spicy potato fry every day,"['NN', 'VB', 'NN', 'NNP', 'NN', 'NN', 'NN']"
Get a combo with buttermilk and naan,"['VB', 'NN', 'NN', 'NN', 'NNP', 'DT', 'NNP']"
Get popover at our restaurant,"['VB', 'NNP', 'NN', 'PRP', 'NN']"
Tasty and healthy seafood garden salad,"['JJ', 'DT', 'NN', 'NN', 'NN', 'NN']"
Try our famous carrot chips,"['VB', 'PRP', 'JJ', 'NNP', 'NN']"
Delightful bhindi stir fry with curry,"['NN', 'NN', 'NN', 'NN', 'NN', 'NN']"
